places,state,type,rating,description,best_time_to_visit,avg_accommodation_cost/day(Rs)
Nagalapuram,andhra-pradesh,Adventure,4.2,"Hidden like a jewel behind the lush green forests of Andhra Pradesh lies a serene and tranquil place named Nagalapuram. Also known as Nagala Hills, it is famous for the various adventurous activities proffered in this scenic village. Nagalpuram is also known for housing the Nagalpuram Falls. A group...",September to Apr,3797.06
Chirala Beach,andhra-pradesh,Beach,4.0,"Also known as “Ksheerapuri”, the peaceful town of Chirala is located in Prakasam district of Andhra Pradesh. It was founded by Minchala Paleti Papayya and Minchala Paleti Perayya. Chirala is exclusively famous for its quiet beaches, splendid panoramic view and extremely hospitable people. Also famou...",November to February,3474.9
Ziro,arunachal-pradesh,Adventure,4.5,"Located in the picturesque state of Arunachal Pradesh, Ziro is a tranquil valley town renowned for its stunning landscapes, rich cultural heritage, and vibrant festivals. Situated approximately 115 kilometers from the capital city of Itanagar, Ziro captivates visitors with its lush greenery, sprawli...",October to February,3150.12
Sela Pass,arunachal-pradesh,Adventure,3.5,"One of the most breathtaking places in the Himalayan vista, Sela Pass is a lifeline for the people of Arunachal Pradesh, and it is as heavenly as it gets. The Sela Pass and Himalayas combine to enchant one and all by their mystic beauty. One of the most stunning gifts of nature to the North-Eas...",September to December,3797.06
Roing,arunachal-pradesh,Adventure,3.5,"The snow peaked mountains, deep gorges, turbulent rivers cascading down the hills, numerous waterfalls, placid lakes, archaeological sites, peace and fun loving hospitable people and above all the heavenly climate make Roing one of the most attractive destinations for tourists.",November to February,3797.06
Itanagar,arunachal-pradesh,Adventure,3.6,"Itanagar, nestled in the foothills of the Eastern Himalayas and bordered by the fertile Brahmaputra river plains, offers a captivating blend of natural beauty and cultural heritage. The city boasts a rich legacy of heritage and tribal culture, with attractions such as the 15th century Ita-Fort, lege...",November - February,3085.94
Bomdila,arunachal-pradesh,Adventure,4.2,"With majestic Himalayas bestowing their shadow, the beautiful town of Bomdila will offer you all an area in this terrain should.",November - April,2813.51
Bhalukpong,arunachal-pradesh,Adventure,4.2,"Apart from being the nature lover's paradise, Bhalukpong can provide you a complete experience with wildlife and a host of activities complimenting its natural beauty and the environment of a place lesser known",October to June,3012.14
Anini,arunachal-pradesh,Adventure,3.0,"Anini is where the clouds come down the kiss the land. With much of its beauty peeking from behind the misty air, this unexplored town is the place to visit for pristine calmness.",October - April,3797.06
Pasighat,arunachal-pradesh,Adventure,3.7,"Home to river Brahmaputra which transcends down from Tibet, this place is a photographer's delight for comprising abundant sceneries of nature.",October to April,2993.56
Aalo,arunachal-pradesh,Adventure,3.5,"Formerly known as Along, the town of Aalo functions as the headquarters of the West Siang district in Arunachal Pradesh. Lying close to several tiny villages, this small town is situated at the congregation of the two rivers of Sipu and Yomgo. Mechuka Valley, among the most beautiful offbeat places ...",October to Apr,3797.06
Tirap,arunachal-pradesh,Adventure,5.0,"Tirap never fails to enchant its tourists with gushing rivulets, green and vibrant orchids and the freshness in air which heals the restless mind. Another spectacular attribute of this place is the ethnicity of tribals and their festivals, fairs and flawless artworks which are created with intense d...",October to March,3797.06
Madhuri Lake,arunachal-pradesh,Adventure,4.9,"Nestled amidst the Himalayas, Arunachal Pradesh boasts numerous stunning lakes, but none are as captivating as Madhuri Lake, also known as Sangetsar Lake or Sangestar Tso. Situated on the route from Tawang to Bum La Pass in Tawang district, near the Indo-China border, this remote lake sits at an alt...",October to March,3797.06
Pakhui Wildlife Sanctuary,arunachal-pradesh,Adventure,3.5,This royal sanctuary plays home to the royal bengal tiger and many more varieties of flora and fauna. At least 40 mammal species occur in Pakke Tiger Reserve.,July to March,3797.06
Daporijo,arunachal-pradesh,Adventure,3.7,"Paddy Fields, rainforests with bamboo trees along with beautiful Subansiri River flowing along the town, Daporijo is a small town on the way from Ziro to Along.",November to April,2963.28
Khonsa,arunachal-pradesh,Adventure,3.4,"Khonsa is the headquarters of Tirap district in Arunachal Pradesh and is located in the Tirap Valley surrounded by Himalayan ranges. Streams, deep gorges, dense forests and snow-clad hills are some of the features which describe the terrain in Khonsa.",October to March,3797.06
Changlang,arunachal-pradesh,Adventure,3.3,Changlang District shares international boundary with Myanmar (Burma) and is best known for its bio-diversity and scenic beauty and a unique culture that makes it standout from the nearby areas.,November to April,3797.06
Yingkiong,arunachal-pradesh,Adventure,4.4,"Yinkiong is the headquarter of the Upper Siang district, gets its name from River Siang that flows besides this district. This region is known for its diverse and colourful ethnicity where people live with love and celebrate festivals with zeal.",October to Apr,3797.06
Anjaw,arunachal-pradesh,Adventure,3.2,"Anjaw is a small offbeat town amidst enormous greenery, gleaming waterfalls, beautiful river streams, pine forests and a thousand other spectacular things.",October to March,3797.06
Yupia,arunachal-pradesh,Adventure,3.9,Yupia is the headquarters of Papum Pare district of Arunachal Pradesh and is 20 Km away from the state capital Itanagar. One of the best things about this beautiful town is that its inhabitants have preserved their diverse culture and traditions with the touch of love and togetherness.,"August to December, February to May",3024.44
Nuranang Falls,arunachal-pradesh,Adventure,3.8,"Nestled deep within the forests of Tawang, Nuranang Falls offers a serene and unspoiled experience, hidden away from the bustling tourist trails. Cascading from a height of approximately 100 meters, this magnificent waterfall, also known as Jang Falls or Bong Bong Falls, is a pristine white veil of ...",October to June,3797.06
Mechuka,arunachal-pradesh,Adventure,4.6,"Mechuka is a famous destination in Arunachal Pradesh for exotic tribes and the scenic beauty it engulfs. The other name for Mechuka is Menchukha. It is a small town nestled above the sea level in Mechuka valley. It is home to Memba, Ramo, Bokar and Libo tribes. The natives are the followers of Buddh...",October to May,3797.06
Tezu,arunachal-pradesh,Adventure,4.0,"As you roam around the woods enriched with lush greenery and birds chirping those soothing melodies with the Shivalinga rocks on the backdrop, you will praise the beauty of nature that has been bestowed upon Tezu.",November to March,3797.06
Dirang,arunachal-pradesh,Adventure,3.6,"Situated on the journey between Tawang and Bomdila in Arunachal Pradesh, Dirang, which was once an overlooked quaint hamlet, has evolved into a beautiful little town for its scenic setting and bucolic charm. Set along the banks of the Dirang River, it is famous for its hot water springs, which are h...",November to March,2926.99
Namsai,arunachal-pradesh,Adventure,5.0,"Namsai, a district in Arunachal Pradesh, is a burgeoning destination nestled in the northeastern corner of India. Renowned for its tranquil ambiance and stunning natural beauty, Namsai offers visitors a serene retreat amidst verdant landscapes. The district is characterized by its lush greenery, pri...",November to April,3797.06
Sangti Valley,arunachal-pradesh,Adventure,3.8,"Located in the Eastern Himalayan Foothills, Sangti Valley in the West Kameng district of Arunachal Pradesh is renowned for its breathtaking natural beauty. Carved by the meandering Sangti River, the valley offers picturesque scenery and a pleasant climate, making it a popular destination for tourist...",October to March,3797.06
Golden Pagoda,arunachal-pradesh,Religious,3.5,"The Golden Pagoda, alternatively referred to as Kongmu Kham in the Tai-Khamti dialect, is a stunning Burmese-inspired Buddhist temple situated in the Namsai District of Arunachal Pradesh, India. Established in 2010, this magnificent structure occupies a sprawling complex spread across 20 hectares (4...",October to February,3229.855
Kaziranga National Park,assam,Adventure,3.6,"Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it ...",October to May,2684.04
Majuli,assam,Historical,3.2,"Majuli, a verdant and eco-friendly freshwater island nestled in the Brahmaputra River, is a pristine haven just 20 kilometers from Jorhat city in Assam. Encompassing a total area of 1250 square kilometers, Majuli holds the distinction of being the world's largest river island, drawing tourists ...",October to March,2406.46
Guwahati,assam,Historical,4.2,"Famously regarded as the gateway to North-East India, Guwahati is the largest city in the state of Assam. It is also the largest metropolis in the entire North-Eastern region of India, making it the most preferred staging point to other destinations in the region. Sandwiched by the river Brahmaputra...",October to March,2736.96
Manas National Park,assam,Adventure,3.4,"Manas National Park is a UNESCO Natural World Heritage site, a Project Tiger Reserve, an Elephant Reserve and a Biosphere Reserve in Assam. The only tiger reserve in Assam and also famous for the rare golden langur and the red panda, Manas is one of the best-kept national parks in India.",October to February,3054.04
Dibrugarh,assam,Historical,4.0,"Dibrugarh is the largest city of Assam located 439 km from Guwahati. A major city in the northeastern region of India in line with cities like Guwahati and Bhubaneswar, Dibrugarh is the emerging communication and industrial hub of North East India. Dibrugarh has an airport that is well-connected wit...",November to March,2198.1
Jorhat,assam,Historical,5.0,"Famous for its culture, mosques, tombs, gardens and most importantly - its tea plantations, Jorhat is a culturally and commercially important city in the state of Assam. The headquarters of Jorhat district, this city is also known as the tea capital of India. It is located at a distance of about 305...",November to February,2116.84
Hajo,assam,Religious,3.7,"At a distance of about 24 km from the city of Guwahati, Hajo adores the banks of Brahmaputra. An ancient pilgrim centre, Hajo finds its uniqueness in being an attraction for three religions - Hindu, Muslims and Buddhists. Shrines dedicated to Durga, Shiva, Vishnu, Buddha and major Muslim saints are ...",Throughout the year,1324.7
Bogamati,assam,Adventure,4.0,"Newly discovered Bogamati is a picturesque spot perfect for picnics that lies at the mouth of river ‘Barnadi’ on the foothills on Indo-Bhutan border, in the Baksa district, Assam. Inaugurated by Emanuel Muchahary, MLA of Tumulpur, about six years ago, the unexplored, panoramic view of the mountains ...",November-February,3797.06
Mayong Assam,assam,Historical,5.0,"Mayong, also known as 'the land of black magic', is a cluster of villages situated at a distance of 40 km from Guwahati. The village lies on the banks of the Brahmaputra River in the district of Morigaon in Assam. Mayong is a famous tourist spot and the famous stories of black magic and the magician...",October to March,3118.42
Dibru Saikhowa National Park,assam,Adventure,4.5,"Dibru Saikhowa National Park is one of those places which boast of a rich collection of flora and fauna, many of them endangered. It is one of the few remaining protected sites in the Endemic Bird Area of the Assamese Plains.",October to March,3029.57
Pobitora Wildlife Sanctuary,assam,Adventure,3.4,"Home to the densest population of One-horned Rhinos in the world, the Pobitora Wildlife Sanctuary is located in Assam, approximately 30 km away from Guwahati in the Morigaon District. The wildlife sanctuary also sees an astounding diversity of bird species. No wonder then that it is also called 'Bha...",October to March,3797.06
Barpeta,assam,Religious,3.2,"One of the major towns in Western Assam, located around 98 kilometres northwest of Guwahati, Barpeta is the administrative headquarter of Barpeta district which is known as the 'Land of Satras'. The town is referred in the local tongue as 'Satra Nagari' or 'the town of temples' due it bein...",October to January,3021.75
Umananda Island,assam,Religious,3.2,"The smallest river island in the world, Umananda Island is a place with legends aplenty, a place where man and the wilderness co-habit in peace and serenity. Umananda Island lies at the heart of the Mighty Brahmaputra River which flows through the middle of the city of Guwahati. An island with many ...",October to March,3229.855
Nameri National Park,assam,Adventure,3.5,"Nameri national park is famous for its elephants and other animals including tigers, leopards, gaurs, wild pigs, sambars, etc. and also for being a bird watchers paradise. Safaris are available and are the most popular way to create a trip full of excitement, into the national park.",October to February,3054.04
Tinsukia,assam,Historical,3.4,"Tinsukia is quite popular with the tourists as it serves as the gateway to nearby beautiful villages and wildlife sanctuaries. An important town of Assam, it is quite popular with the tourists as well. It also serves as a base place to carry on with holidays to nearby cities. It is almost 500 k...",October - March,3062.59
Sivasagar,assam,Historical,5.0,"Dating back to the Ahom dynasty, this cultural town is full of historic tourist attractions from forts with underground architecture to numerous temples. Sibsagar is a state of Assam that provides various tourist attractions related to architectural marvels, history and culture. Some of the most pop...",November to Mid March,3118.42
Diphu,assam,Adventure,5.0,"Diphu, the headquarters for the district of Karbi-Anglong in southern Assam, is located at a distance of about 250 Km from Guwahati. It is a small picturesque town which is a weekend popular picnic spot for people from nearby regions. Other than being a pleasant and quiet getaway, Diphu ha...",October - March,3011.25
Silchar,assam,Historical,3.5,"Situated on the Surma (Barak) River, and known for its scenic beauty and natural splendour, Silchar is surrounded by Manipur on the east, Bangladesh on the west, Mizoram on the south and the Barail hills on the north. Located south of Guwahati at a distance of 313 Kms, this town is considered as the...",October to March,2979.78
Goalpara,assam,Historical,5.0,"Goalpara is a town located 140 kms West from Guwahati which is about a 3-hour drive away. It is the headquarters of the district of the same name. The word 'Gwaltippika', roughly translating to Guwali Village or the Village of the Milk Men is the origin of the name 'Goalpara'. The surrounding region...",July to March,3118.42
Dispur,assam,Historical,3.5,"Dispur is the beautiful capital of Assam packed with panoramic views, unique traditions and rich tribal culture. Declared as Assam's capital in 1973, the city houses some of the important buildings of the state like Assam Secretariat, State Emergency Operations Center and State Assemble House.",July to March,2649.16
Sualkuchi,assam,Historical,3.4,"Sualkuchi is a small sleepy village that displays the culture and traditions of Assam in its best form. The weaving village is however, best known for its skills and craftsmanship for producing one of the best kinds of silk in the state and thus earning its self a nickname of 'Manchester of East'.",September to March,1324.7
Orang National Park,assam,Adventure,5.0,"Located in the beautiful state of Assam, Orang National park is the oldest game reserve in the state, situated on banks of river Brahmaputra. Located at a distance of 110 Kms north of Guwahati, this national park is shared by the districts of Darrang and Sonitpur. It is officially known as Rajiv Gan...",October to March,2880.9
Lilabari,assam,Adventure,3.6,"Lilabari is a small town located in North Lakhimpur in Assam. The town, located 376 kms from Guwahati, is famous for its waterfront, as it is situated on the left bank of Brahmaputra river and beautified with the breathtaking Dirang valley and Sela pass. Lilabari also has an airport which serves Aru...",July to March,3797.06
Karimganj,assam,Historical,3.5,"Away from the blaring noises of cities, Karimganj, located at a distance of 313 Kms from Guwahati, is a small sleepy town of Assam steeped in the beauty of nature. Karimganj is the biggest city and administrative headquarter in the district. Situated in the southernmost part of the state, the region...",Mid March to mid November,3156.62
Bongaigaon,assam,Historical,3.5,"An important city of Assam, Bongaigaon was the last capital of the Kamatapur Kingdom and home to many historical monuments of Assamese culture. Centrally located within the state at around 180 Kms northwest of Guwahati, the city depicts a vibrant Assamese township and culture. The scenic b...",October to February,2945.56
Hailakandi,assam,Historical,4.2,"Hailakandi, located 312 kms south of Guwahati is a beautiful destination nestled in the heart of Barak Valley of Assam. The town is the administrative headquarters of the district of Hailakandi. It is a town with several legends attached to it and serves as a melting pot of various cultures and trad...",July to March,3620.43
Dhemaji,assam,Historical,4.1,"The serene location, paddy fields, the temples and the culture makes Dhemaji an experience in itself. The town's name Dhemaji' is believed to be derived from a combination two Assamese words """"dhal"""" meaning flood and """"Dhemaji"""" meaning """"play"""".",October to March,3118.42
Nalbari,assam,Historical,4.4,"Located at the base of the eastern Himalayas in Assam, Nalbari is a perfect getaway to explore the wilderness of nature with its vast Paddy fields and dense forests. With Indo-Bhutan border marking the north boundary of the district while Brahmaputra River lying on its south, Nalbari is a place...",Throughout the year,3042.96
Darrang,assam,Historical,4.0,One can experience the best of everything in Darang from spellbinding nature to a rich past and unique culture and heritage. Tthe place finds its roots dating back to 16th century with a mention in the Mahabharata. One can witness relics of the past displayed all over the place.,July to March,3118.42
Morigaon,assam,Historical,3.9,"The town of Morigaon, located 80 Kms east of Guwahati, is the administrative headquarters of the Morigaon district. Enriched with a strong regional history, fascinating legends and unique traditions and culture, the town and the surrounding regions are home to many religious and cultural sites.&nbsp...",October to March,3118.42
Nagaon,assam,Beach,3.0,"Nagaon holds the distinction of being Assam's most populous district and one of the largest district in the area. It is also famously known to be the 'Rice bowl of Assam' and is rich in paddy. This district happens to be rich in wildlife too, as a part of this area is covered by the world famous Kaz...",October to March,3474.9
Sadiya,assam,Historical,4.4,"Situated in the Himalayan foothills, Sadiya is one of the sub-divisional headquarters of Tinsukia. It sits at the confluence of three three major rivers, Dihing (Tsangpo in Tibet), Dibang and Lohit that create the mighty Brahmaputra. It has an elevation of about 400 feet and stands on a grassy plain...",October to March,3118.42
Digboi,assam,Historical,4.2,"Famous as the Oil City of Assam, this town houses the oldest refinery of India. Crude oil was discovered here in the late 19th century. It is a primary source for raising the economic status of Tinsukia district. However, the city is more than just oil. It is also known for its golf courses which ar...",October to March,3118.42
Haflong,assam,Adventure,3.5,"Looking for an escape to the biodiversity rich state of Assam, take a turn to the only hill station here, Haflong. This hill station features green rolling hills, narrow valleys, amazing flora and fauna and mesmerizing views with a serene environment, perfect for all the visitors to come and fall in...",October to March,3011.49
Tezpur,assam,Historical,3.0,"Tezpur, located on the northern bank of the Brahmaputra river in the Sonitpur district of Assam, is known as the cultural capital of the state. Deeply rooted in historical and cultural significance, the city is famous for its lush greenery, heritage sites, lakes and the national parks nearby. Locate...",July to March,2861.15
Patna,bihar,Historical,3.6,"Prospering along the southern banks of river Ganges and set in the backdrop of a glorious historical past, Patna boasts of a dominating presence in history and enjoys the distinction of being one of the oldest cities in the world. In addition to being one of the major and most popular tourist destin...",October to March,2756.38
Madhubani,bihar,Historical,4.4,"An ancient city, Madhubani in Bihar is known for the richness in art and culture that the district strives for. Mentioned in the Ramayana, the city is known for the world popular Madhubani paintings whose origin lie here.",October to January,2236.77
Sitamarhi,bihar,Religious,4.4,"Sitamarhi, a town and the district headquarters of the Sitamarhi District in Bihar, is the birthplace of Goddess Sita, wife of Lord Ram. The Punaura Dham is the spot where Mata Sita originated in an earthen pot is located in this region. Bordered by Nepal in the North, Muzaffarpur in the south, Cham...",October to January,3229.855
Valmiki National Park,bihar,Adventure,4.3,"Located in the West Champaran district, Valmiki National Park is situated on the India- Nepal border on the banks of river Gandak. Sprawling over a humongous area, the park is divided into two sections- the wildlife sanctuary declared in the year 1978 covers and area of 545 sq km and the national pa...",October to March,3797.06
Bhagalpur,bihar,Historical,4.4,"This historically significant city of Bhagalpur lies on the southern banks of the river Ganges. Bhagalpur, also known as the silk city, it is the 3rd largest city of Bihar. Bhagalpur is well known for being a major educational centre, apart from being the commercial and political centre. The city nu...",October-March,2376.23
Pawapuri,bihar,Religious,4.3,"Pawapuri is a holy site for the Jains. It is situated in the Nalanda district of Bihar state in Eastern India. A long time ago, Pawapuri was the twin capital of Mall Mahajanpad. Mahajanpad later became a part of the kingdom of Magadha and Ajatshatru was a devotee of Lord Mahavira. During the rule of...",November to February,3229.855
